"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation"
"729085",129.636039100998,-0.975015538524014,0.143515691460653,-6.79379048103135,1.09224982149108e-11,3.40196953918452e-11,"GASK1A","NS"
"474344",323.448637027771,-0.604559178302547,0.0889869864820007,-6.79379313990851,1.0922296807436e-11,3.40196953918452e-11,"GIMAP6","NS"
"107987281",20.6700839655621,-1.36848147294115,0.201438573451536,-6.79354231661294,1.09413124644111e-11,3.40746097491199e-11,NA,"Down"
"89869",60.4894734618426,-0.988001015391251,0.145449184530774,-6.79275733706303,1.10010339008258e-11,3.4256896007351e-11,"PLCZ1","NS"
"9537",413.396308964419,0.546884929849721,0.0805109462673732,6.79267795503908,1.10070910540861e-11,3.42720519164852e-11,"TP53I11","NS"
"56942",408.044022146946,-0.333138301352831,0.0490467831861436,-6.79225587717948,1.10393521232607e-11,3.43687851292607e-11,"CMC2","NS"
"2784",18.2771383208522,0.777330572669708,0.114498608166459,6.78899582377124,1.12916709814676e-11,3.51505286914174e-11,"GNB3","NS"
"57497",7.50184585081966,1.53952014618423,0.226789081355788,6.78833450438042,1.134354016603e-11,3.5308178739876e-11,"LRFN2","Up"
"1160",197.042133286989,0.650800532398302,0.0958794637686056,6.78769474523696,1.13939403964507e-11,3.54612229046783e-11,"CKMT2","NS"
"9196",40.7404734620988,-0.722053952012162,0.106385065492071,-6.7871740142509,1.14351254672201e-11,3.55855568624383e-11,"KCNAB3","NS"
"28988",1905.13343887416,0.276351800756014,0.0407175342373354,6.78704656193589,1.14452279759101e-11,3.56131469746363e-11,"DBNL","NS"
"102724036",2.29190852227851,3.14816645780714,0.463855823664361,6.78695037810952,1.14528577756922e-11,3.56330378375524e-11,"LOC102724036","Up"
"55254",572.490328131804,0.288645665998697,0.0425342949878643,6.7861866778573,1.15136155325466e-11,3.58182024528764e-11,"TMEM39A","NS"
"102724917",11.1140892413055,3.51971537839912,0.518705723535864,6.78557266421943,1.15626935329026e-11,3.59669959343844e-11,"LINC02327","Up"
"1051",1940.79107194477,-0.475799212737867,0.0701216478753217,-6.78533986514196,1.15813546485008e-11,3.60211525183634e-11,"CEBPB","NS"
"339287",1362.17448807129,0.242674487909029,0.0357691029088753,6.78447230078043,1.16511585790922e-11,3.62343482462956e-11,"MSL1","NS"
"388630",266.996070254672,-0.820807097883946,0.12099297192593,-6.78392376696417,1.16955059088016e-11,3.63683381018971e-11,"TRABD2B","NS"
"8449",1018.70750668644,0.339537108825325,0.0500511262313505,6.78380556824813,1.17050835547733e-11,3.63941909102098e-11,"DHX16","NS"
"112268259",154.185888013024,0.508662301362697,0.0749934753729476,6.78275408404644,1.17906242241865e-11,3.6656201706588e-11,NA,"NS"
"10786",413.439524185801,-0.893244158193991,0.13170127698933,-6.78235001674555,1.18236586453278e-11,3.67549354132287e-11,"SLC17A3","NS"
"6098",25.1187480166273,1.53978221215616,0.22704333770651,6.78188678738757,1.1861641398083e-11,3.68690284923901e-11,"ROS1","Up"
"1593",7866.10334291546,-0.619367297477146,0.0913484012501324,-6.78027517724344,1.19947198416695e-11,3.72786468811136e-11,"CYP27A1","NS"
"26973",442.674155629223,0.377185712782969,0.0556342851330457,6.7797350479287,1.20396472909369e-11,3.74142400652207e-11,"CHORDC1","NS"
"10541",1076.79346160873,0.323610247933903,0.047732970476581,6.77959583706769,1.20512534108057e-11,3.74462662628811e-11,"ANP32B","NS"
"107986475",6.99096237712852,1.40699430305993,0.207534777762026,6.77955915742129,1.20543132457463e-11,3.74517329648292e-11,"LOC107986475","Up"
"105374040",54.7790852401867,-0.954622498956172,0.140826409124435,-6.77871789028339,1.21247014362051e-11,3.76663594347178e-11,"LOC105374040","NS"
"28378",1.34481225729549,1.9137771032428,0.282365567848266,6.77765748078463,1.22139988808408e-11,3.79396763855519e-11,"IGHV7-81","Up"
"4352",17.5285766795561,0.663572529218583,0.0979119998068733,6.77723395015369,1.22498442880176e-11,3.80469171490867e-11,"MPL","NS"
"8672",1277.89902197754,0.302769827737245,0.044675326462705,6.77711505902475,1.22599251177046e-11,3.80741209467979e-11,"EIF4G3","NS"
