"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","32/1644","115/9376",0.278260869565217,1.58696710039141,2.920279097072,0.00393962114599291,0.0303788563924342,0.0236838043162614,"GNG4/KCNN2/PLCB1/CYP2C8/HTR1D/CYP2C9/DUSP1/KCNJ5/CYP2C19/GNAO1/ALOX15B/HTR2A/CYP2J2/HTR4/CYP2D7/CYP2C18/PLA2G4E/GNG13/HTR1B/HTR1F/KCNJ6/CYP2D6/HTR3B/PLCB4/PLA2G4F/GNGT1/HTR2C/GABRB1/CACNA1S/ALOX12B/HTR3A/GABRB2",32
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","20/1644","63/9376",0.317460317460317,1.8105279419148,2.97635059207151,0.00425456643548559,0.0309615219341385,0.0241380589627593,"CYP2C8/CYP2B6/CYP2C9/PRXL2B/AKR1C3/EPHX2/CYP2C19/CBR3/ALOX15B/CYP4F2/CYP2J2/GGT5/CYP2E1/PLA2G4E/PLA2G5/PTGES/PLA2G4F/PTGDS/ALOX12B/PLA2G3",20
"Metabolism","Carbohydrate metabolism","hsa00030","Pentose phosphate pathway","12/1644","31/9376",0.387096774193548,2.20767600659289,3.10550515333239,0.0042828618237425,0.0309615219341385,0.0241380589627593,"TKT/G6PD/FBP1/SHPK/PGM1/ALDOA/RGN/ALDOB/TKTL1/PFKP/PRPS1L1/TKTL2",12
"Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","12/1644","31/9376",0.387096774193548,2.20767600659289,3.10550515333239,0.0042828618237425,0.0309615219341385,0.0241380589627593,"ALDH2/ACADS/MLYCD/CNDP1/ECHS1/GAD1/ALDH3A1/SMOX/ALDH6A1/ABAT/EHHADH/ALDH1B1",12
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","39/1644","148/9376",0.263513513513513,1.50286052475833,2.84325120019249,0.00446623596932489,0.0316282424766477,0.0246578441270998,"E2F1/E2F2/HEY1/DLL4/FOS/E2F3/ESR1/CDK4/GADD45B/BRCA1/BAK1/GADD45A/PIK3R2/IGF1/NOTCH3/GADD45G/FZD6/JAG2/LEF1/EGF/FGF21/JUN/WNT3A/SHC3/AXIN2/WNT11/FGF17/WNT5A/FGF19/HES5/FGF18/DLL3/WNT7A/FGF7/FGF23/SHC4/WNT6/FZD9/FZD10",39
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","8/1644","17/9376",0.470588235294118,2.68384141977959,3.20406669328582,0.00476615507657778,0.0330771162314498,0.0257874074669577,"CA12/GLUD1/CA5A/CA9/GLUL/CA8/CA2/CPS1",8
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","29/1644","103/9376",0.281553398058252,1.60574492712541,2.85028895802673,0.00490786425609063,0.0333927234679108,0.0260334595214715,"LAMC1/GNA14/PLCB1/LAMA4/COL4A1/HSPB1/CXCL2/C8A/LAMA3/CD1D/COL1A1/PIK3R2/COL4A2/CD14/C9/COL1A2/LAMB4/C8B/LAMB3/COL4A5/NOS2/ADCY1/TGFB2/RAB7B/COL4A6/PLCB4/ARG1/COL3A1/CD1A",29
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","25/1644","86/9376",0.290697674418605,1.65789622588129,2.82611210823782,0.00554725748166528,0.0367341296745645,0.0286384690622268,"ITGA6/ITGA9/CACNG4/ITGA2/DTNA/CTNNA2/ACTN2/CTNNA3/DMD/LEF1/SGCE/CACNB2/ITGA11/GJA1/CACNB4/ITGB4/RYR2/ITGB6/CACNG8/CACNA2D3/SGCA/DES/NOS1/CACNA1S/SLC8A2",25
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","22/1644","73/9376",0.301369863013699,1.71876145718761,2.8426626426904,0.00563756100790657,0.0367341296745645,0.0286384690622268,"E2F1/CDKN2A/E2F2/E2F3/CDK4/GADD45B/BAK1/GADD45A/PDGFA/PIK3R2/IGF1/PDGFB/GADD45G/EGF/FGF21/HGF/PDGFRA/FGF17/FGF19/FGF18/FGF7/FGF23",22
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","17/1644","52/9376",0.326923076923077,1.86449560172188,2.88239801200144,0.00582241248444106,0.0367341296745645,0.0286384690622268,"CYP17A1/AKR1C3/IGF1/CYP19A1/INS/HSD17B2/CYP2J2/LDLR/ADCY1/PLA2G4E/CYP1A1/HSD3B2/PLA2G4F/FSHR/ADCY8/CGA/HSD3B1",17
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","17/1644","52/9376",0.326923076923077,1.86449560172188,2.88239801200144,0.00582241248444106,0.0367341296745645,0.0286384690622268,"LCAT/CETP/CIDEB/LPL/SORT1/LPA/APOA1/LIPC/SOAT2/LDLR/APOH/ANGPTL3/APOC3/ANGPTL4/LRP2/NCEH1/CYP7A1",17
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","14/1644","41/9376",0.341463414634146,1.9474215180108,2.80329391049953,0.00776563494291953,0.0481192022355906,0.0375144394798932,"PSPH/GRHPR/SARDH/CTH/CBS/DMGDH/ALAS1/SHMT1/CNPY3-GNMT/BHMT/AGXT/GNMT/AGXT2/SDS",14
